College Name,% Match,Criteria Met
Tampa| University Of,93.87,['NO'| 'NO'| 'NO'| 'YES'| 'YES'| 'NO'| 'YES'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES']
Rollins College,90.12,['NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'YES'| 'NO'| 'NO'| 'YES']
Oklahoma Christian Univ.,88.32,['Unknown'| 'NO'| 'YES'| 'YES'| 'NO'| 'Unknown'| 'YES'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'YES']
South Florida| Univ. Of,84.97,['NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO']
Ohio Dominican University,84.27,['Unknown'| 'NO'| 'NO'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'YES']
Queens University Of Charlotte,83.92,['Unknown'| 'YES'| 'NO'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES']
Florida Southern College,83.82,['NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES']
Miami| University Of,83.62,['NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'YES'| 'NO'| 'NO'| 'NO']
Jacksonville University,83.32,['NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'Unknown'| 'YES'| 'YES'| 'NO'| 'Unknown'| 'NO'| 'NO']
Villanova University,83.12,['NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES'| 'NO']
==========================,==========,=============================================
Mars Hill University,81.82,['Unknown'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'YES']
Saint Edwards Univ.,81.32,['NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'Unknown'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES']
Arcadia University,80.92,['NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO']
Montevallo| University Of,80.92,['Unknown'| 'YES'| 'YES'| 'YES'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES']
Eckerd College,80.87,['Unknown'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'Unknown'| 'NO'| 'YES']
Saint Leo University,80.82,['Unknown'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES']
Depauw University,80.62,['NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES'| 'NO']
Smith College,80.47,['NO'| 'Unknown'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES'| 'NO']
Barry University,80.37,['Unknown'| 'NO'| 'Unknown'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES']
North Florida| Univ. Of,80.32,['NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'Unknown'| 'YES'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO']
Seton Hall University,80.27,['NO'| 'NO'| 'YES'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO']
Nova Southeastern University,80.12,['Unknown'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'Unknown'| 'NO'| 'YES']
Lesley University,80.02,['Unknown'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO']
Florida A&M University,79.72,['NO'| 'YES'| 'YES'| 'YES'| 'YES'| 'NO'| 'NO'| 'YES'| 'NO'| 'Unknown'| 'NO'| 'NO']
Adelphi University,79.72,['Unknown'| 'NO'| 'YES'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'NO'| 'YES'| 'NO'| 'YES']
